Time,Score
2021-04-11 11:04:01.411931+00:00,No
2021-04-11 11:04:18.075759+00:00,No
2021-04-11 11:04:24.452814+00:00,No
2021-04-11 11:05:30.301563+00:00,No
2021-04-11 11:05:37.742472+00:00,Yes
2021-04-11 11:08:23.051908+00:00,No
2021-04-11 11:08:35.547019+00:00,Maybe
2021-04-11 11:10:44.641164+00:00,No
2021-04-11 11:11:47.227764+00:00,Maybe
2021-04-11 11:16:13.544193+00:00,No
2021-04-11 11:16:18.078699+00:00,No
2021-04-11 11:16:18.654618+00:00,No
2021-04-11 11:16:19.239365+00:00,No
2021-04-11 11:16:20.158716+00:00,No
2021-04-11 11:17:01.581117+00:00,No
2021-04-11 11:18:50.554097+00:00,No
2021-04-11 11:18:51.633832+00:00,No
2021-04-11 11:53:15.047627+00:00,No
2021-04-11 12:03:39.862181+00:00,Maybe
2021-04-11 12:04:00.770373+00:00,No
2021-04-11 12:04:43.691995+00:00,No
2021-04-11 12:05:00.125628+00:00,Yes
2021-04-11 12:12:23.917201+00:00,No
2021-04-11 12:13:34.048954+00:00,No
2021-04-11 12:14:03.915683+00:00,No
2021-04-11 12:16:03.601198+00:00,Maybe
2021-04-11 12:17:10.044893+00:00,No
2021-04-11 12:20:35.713974+00:00,Maybe
2021-04-11 12:22:27.917832+00:00,Maybe
2021-04-11 13:43:35.330765+00:00,Low